tarih,urun,kategori,adet,birim_fiyat,sehir
2026-08-11,Termos,Mutfak,7,350,Ankara
2026-08-03,Ogutucu,Elektronik,2,1150,Izmir
2026-08-19,Kahve Makinesi,Elektronik,4,2400,Ankara
2026-08-03,Kahve Cekirdegi 1kg,Gida,7,680,Ankara
2026-08-08,Kahve Makinesi,Elektronik,7,2400,Ankara
2026-08-27,Ogutucu,Elektronik,2,1150,Istanbul
2026-08-21,French Press,Mutfak,1,430,Antalya
2026-08-19,Kahve Cekirdegi 1kg,Gida,1,680,Istanbul
2026-08-02,Ogutucu,Elektronik,3,1150,Izmir
2026-08-14,Termos,Mutfak,2,350,Antalya
2026-08-10,Ogutucu,Elektronik,3,1150,Ankara
2026-08-19,Ogutucu,Elektronik,4,1150,Izmir
2026-08-04,Ogutucu,Elektronik,2,1150,Antalya
2026-08-02,Ogutucu,Elektronik,4,1150,Bursa
2026-08-22,Ogutucu,Elektronik,7,1150,Izmir
2026-08-15,Ogutucu,Elektronik,8,1150,Izmir
2026-08-10,Termos,Mutfak,3,350,Istanbul
2026-08-03,Ogutucu,Elektronik,5,1150,Antalya
2026-08-16,Fincan Seti,Mutfak,8,520,Izmir
2026-08-20,Kahve Makinesi,Elektronik,2,2400,Antalya
2026-08-14,Termos,Mutfak,6,350,Istanbul
2026-08-16,Kahve Cekirdegi 1kg,Gida,1,680,Ankara
2026-08-25,Ogutucu,Elektronik,6,1150,Izmir
2026-08-23,Fincan Seti,Mutfak,8,520,Antalya
2026-08-26,Kahve Cekirdegi 1kg,Gida,2,680,Ankara
2026-08-09,Kahve Cekirdegi 1kg,Gida,2,680,Ankara
2026-08-24,French Press,Mutfak,5,430,Antalya
2026-08-22,Kahve Cekirdegi 1kg,Gida,5,680,Bursa
2026-08-22,Fincan Seti,Mutfak,1,520,Bursa
2026-08-12,Termos,Mutfak,2,350,Bursa
2026-08-02,Termos,Mutfak,5,350,Istanbul
2026-08-24,Termos,Mutfak,7,350,Bursa
2026-08-28,Kahve Cekirdegi 1kg,Gida,2,680,Istanbul
2026-08-15,Kahve Cekirdegi 1kg,Gida,5,680,Istanbul
2026-08-27,Kahve Cekirdegi 1kg,Gida,5,680,Bursa
2026-08-12,French Press,Mutfak,7,430,Istanbul
2026-08-05,Kahve Makinesi,Elektronik,3,2400,Istanbul
2026-08-08,French Press,Mutfak,4,430,Ankara
2026-08-16,Ogutucu,Elektronik,3,1150,Izmir
2026-08-10,Kahve Makinesi,Elektronik,3,2400,Bursa
2026-08-18,Fincan Seti,Mutfak,6,520,Istanbul
2026-08-23,Ogutucu,Elektronik,1,1150,Bursa
2026-08-28,French Press,Mutfak,7,430,Bursa
2026-08-13,Kahve Cekirdegi 1kg,Gida,2,680,Bursa
2026-08-21,Kahve Cekirdegi 1kg,Gida,1,680,Istanbul
2026-08-03,Termos,Mutfak,8,350,Istanbul
2026-08-04,Fincan Seti,Mutfak,1,520,Ankara
2026-08-01,Ogutucu,Elektronik,3,1150,Antalya
2026-08-04,Fincan Seti,Mutfak,1,520,Ankara
2026-08-28,Termos,Mutfak,7,350,Istanbul
2026-08-21,Fincan Seti,Mutfak,6,520,Antalya
2026-08-12,Kahve Cekirdegi 1kg,Gida,2,680,Ankara
2026-08-28,Kahve Cekirdegi 1kg,Gida,8,680,Bursa
2026-08-16,Fincan Seti,Mutfak,2,520,Istanbul
2026-08-04,French Press,Mutfak,6,430,Izmir
2026-08-16,French Press,Mutfak,3,430,Antalya
2026-08-01,Termos,Mutfak,6,350,Istanbul
2026-08-23,Ogutucu,Elektronik,1,1150,Antalya
2026-08-10,French Press,Mutfak,2,430,Izmir
2026-08-17,Fincan Seti,Mutfak,3,520,Izmir
2026-08-25,Termos,Mutfak,6,350,Istanbul
2026-08-20,Termos,Mutfak,4,350,Bursa
2026-08-24,Termos,Mutfak,4,350,Antalya
2026-08-16,Fincan Seti,Mutfak,1,520,Ankara
2026-08-26,Fincan Seti,Mutfak,8,520,Izmir
2026-08-07,French Press,Mutfak,6,430,Bursa
2026-08-26,French Press,Mutfak,6,430,Izmir
2026-08-03,Termos,Mutfak,2,350,Istanbul
2026-08-16,Termos,Mutfak,6,350,Istanbul
2026-08-16,Ogutucu,Elektronik,1,1150,Bursa
2026-08-21,Fincan Seti,Mutfak,2,520,Ankara
2026-08-13,French Press,Mutfak,4,430,Bursa
2026-08-06,Kahve Cekirdegi 1kg,Gida,6,680,Ankara
2026-08-26,French Press,Mutfak,7,430,Bursa
2026-08-13,French Press,Mutfak,2,430,Istanbul
2026-08-06,Termos,Mutfak,1,350,Istanbul
2026-08-19,Kahve Cekirdegi 1kg,Gida,3,680,Antalya
2026-08-27,Ogutucu,Elektronik,8,1150,Izmir
2026-08-05,Ogutucu,Elektronik,3,1150,Ankara
2026-08-01,French Press,Mutfak,2,430,Antalya
2026-08-24,Termos,Mutfak,7,350,Istanbul
2026-08-27,Termos,Mutfak,1,350,Izmir
2026-08-07,Fincan Seti,Mutfak,4,520,Antalya
2026-08-11,Fincan Seti,Mutfak,7,520,Istanbul
2026-08-02,French Press,Mutfak,6,430,Bursa
2026-08-22,Ogutucu,Elektronik,7,1150,Antalya
2026-08-05,Ogutucu,Elektronik,3,1150,Antalya
2026-08-17,Kahve Makinesi,Elektronik,8,2400,Istanbul
2026-08-20,Kahve Makinesi,Elektronik,3,2400,Istanbul
2026-08-05,Kahve Cekirdegi 1kg,Gida,2,680,Antalya
2026-08-02,Fincan Seti,Mutfak,8,520,Ankara
2026-08-18,Kahve Makinesi,Elektronik,4,2400,Istanbul
2026-08-09,Kahve Makinesi,Elektronik,2,2400,Antalya
2026-08-15,Ogutucu,Elektronik,1,1150,Ankara
2026-08-15,Fincan Seti,Mutfak,4,520,Izmir
2026-08-15,Ogutucu,Elektronik,8,1150,Antalya
2026-08-08,French Press,Mutfak,5,430,Antalya
2026-08-07,Kahve Cekirdegi 1kg,Gida,3,680,Bursa
2026-08-04,Kahve Cekirdegi 1kg,Gida,8,680,Izmir
2026-08-03,French Press,Mutfak,4,430,Bursa
2026-08-03,Termos,Mutfak,5,350,Ankara
2026-08-25,Termos,Mutfak,6,350,Istanbul
2026-08-09,Termos,Mutfak,8,350,Istanbul
2026-08-24,Kahve Makinesi,Elektronik,7,2400,Bursa
2026-08-06,French Press,Mutfak,4,430,Istanbul
2026-08-23,Kahve Cekirdegi 1kg,Gida,7,680,Izmir
2026-08-14,Termos,Mutfak,6,350,Izmir
2026-08-03,French Press,Mutfak,6,430,Ankara
2026-08-11,Ogutucu,Elektronik,8,1150,Bursa
2026-08-23,Kahve Makinesi,Elektronik,7,2400,Izmir
2026-08-17,Ogutucu,Elektronik,5,1150,Antalya
2026-08-03,Kahve Makinesi,Elektronik,4,2400,Ankara
2026-08-03,Fincan Seti,Mutfak,5,520,Ankara
2026-08-25,Termos,Mutfak,5,350,Istanbul
2026-08-27,Kahve Cekirdegi 1kg,Gida,5,680,Bursa
2026-08-05,Ogutucu,Elektronik,8,1150,Izmir
2026-08-03,Fincan Seti,Mutfak,1,520,Istanbul
2026-08-14,Kahve Makinesi,Elektronik,5,2400,Ankara
2026-08-21,Kahve Makinesi,Elektronik,5,2400,Ankara
2026-08-20,Termos,Mutfak,2,350,Izmir
